text,concept
"The Government firmly believe that the ability to strike is an important element of industrial relations in the UK. That ability is rightly protected by law, and we understand that an element of disruption is likely with any strike.",LEGAL
"However, we also need to maintain a reasonable balance between the ability of workers to strike and the rights of the public, who work hard and expect the essential services that they pay for to be there when they need them. We must be able to have confidence that when strikes occur, people’s lives and livelihoods are not put at undue risk. As has become clear from recent industrial action, that is not always the case, so we need a safety net in place to ensure that the public do not become collateral damage.",RELATE
"I believe in the fundamental right of a worker to withdraw their labour, whether that happens to be from an employer or against the Government.",AUTONOMY
"But I do not think we should get into a 1970s spiral, where we end up with higher wage claims and higher wage settlements, with higher wage claims and inflation continuing for ever.",ECONOMIC
"Clearly, if we were to meet all the inflation busting demands of the unions, that would make life harder not only for some but for every single family in this country.",ECONOMIC
"The Government are therefore absolutely clear: we want constructive dialogue with the unions, and the public have had enough of the constant, most unwelcome, and frankly dangerous, disruptions to their lives.",RIGHTS
it is perfectly proper to have a balance between minimum service levels and people’s right to strike.,RIGHTS
"Millions of people who rely on essential transport to get to work or to family commitments now every day have the extra stress of worrying about making alternative, sometimes costly, arrangements because of the forever strikes.",ECONOMIC
"That is why we need minimum safety and service levels to keep livelihoods and lives safe. It is frankly irresponsible, and even surprising, for the Opposition to suggest otherwise.",ECONOMIC
"It is fairly obvious to say that a minimum service level in railways, for example, is about people’s livelihoods rather than safety, but that the NHS and the ambulance service not agreeing nationally is a minimum safety level issue.",ECONOMIC
"The Bill will ensure that we protect the ability of workers to take industrial action, but that we also protect the public from disproportionate disruption to their daily lives and that, to put it simply, one person’s right to strike does not infringe on someone else’s right to life and limb.",ECONOMIC
"The reality is that safe agreements are negotiated between the staff and the employers. That happens on the ground, the process and the outcomes protect the NHS, because that is what staff want to do.",RELATE
The Bill establishes a legal framework to implement minimum safety and service levels during periods of strike action.,RIGHTS
"The legislation will allow regulations to be made to ensure that specified services cannot shut down completely when workers strike. That is to maintain crucial and, in many cases, life-saving services. The relevant sectors specified in the proposed legislation are: health services, fire and rescue services, education services, transport services, decommissioning of nuclear installations and management of radioactive waste and spent fuel, and border security.",RIGHTS
"The human rights memorandum that accompanied the Transport Strikes (Minimum Service Levels) Bill last October stated specifically that the Government’s legal advice was that it is not justifiable or necessary in a democratic society to have such restrictions in emergency and patient care services, in fire and rescue, or in education—only in transport.",RIGHTS
"Ultimately, what people in our constituencies need to know, whether or not we know them, is that in those six sectors a minimum service will be provided regardless of the right of people in the sector to hold back their labour on a pay negotiation or for any other reason.",BALANC
"Using the powers proposed in the Bill, regulations will set out the specific services within each sector in which a minimum level of service will be applied, they will also set out the levels themselves.",RIGHTS
"Those regulations will be tailored to each relevant service, taking account of the different risks to public safety or the impacts on daily life and on the economy.",BALANC
"Of course, the Government may choose not to use the regulation-making powers in the Bill if adequate voluntary agreements, where necessary, are already in place between employers, the relevant sectors and the relevant unions.
",BALANC
So we clearly cannot continue to rely on voluntary arrangements to ensure the safety of the people we represent.,COMPL
"We have an opportunity to keep people, their families and their jobs safe during periods of disruption, and that is what we intend to do.",PHYSICAL
The Bill and subsequent regulations are designed to enable employers to specify the workers required to meet minimum safety and service levels during strikes within relevant sectors.,PHYSICAL
"Should a union notify an employer of a strike in accordance with the existing normal rules, the Bill will allow the employer to issue a work notice to the union specifying the workers needed to work during a strike to secure the minimum level of safety and service.",RIGHTS
"Employers will be required to consult the union on the number of workers to be identified in the work notice and the work to be undertaken, and have regard to the union’s views before issuing that work notice.",COLLECT
The work notice must not list more people than reasonably necessary to meet the minimum level of safety and service.,RIGHTS
Employers must have no regard to whether someone is or is not a member of the union—or even the CLP—when deciding whether they need to be included in that work notice.,RIGHTS
"Instead of reaching for the statute book and trying to legally constrain trade unions from their legitimate action, why does the Secretary of State not address the fundamental causes: poverty pay, stress, bad conditions and inadequate service in all parts of the UK?",PHYSICAL
"It is important to say that I agree with him, for once, because we are trying to work constructively—as we should—to bring strikes to a conclusion, but we must not do so at the expense of the lives and livelihoods of our constituents.",RELATE
Unions must take reasonable steps to ensure that members do not participate in strikes if they have been named in a work notice.,COLLECT
It is up to unions to ensure public safety and not put lives at risk.,COLLECT
Only if they fail to do so could they face civil action in court.,RIGHTS
"The Government, unions, employers and workers have a role to play in ensuring that essential services continue even during strikes.",BALANC
"Countries such as Australia and Canada have the ability to ban outright those strikes that would endanger lives, such as in some blue-light services.",COMPAR
"However, this legislation does not seek to ban the right to strike.",RIGHTS
The Government will always defend the principle that workers should be able to withdraw their labour.,JUST
"The Secretary of State just mentioned that minimum service levels exist in many other countries, including Italy, Spain and France.",COMPAR
"All that we are saying is that, in certain services in these important sectors, the right to strike must be balanced against the needs of the public to rely on a basic level of life-saving care.",BALANC
"The legislation simply brings us into line, as my hon. Friend just said, with many other modern European nations, such as Spain, Italy, France and Ireland.",COMPAR
The International Labour Organisation itself states that minimum service levels can be a proportionate way of balancing the right to strike with the need to protect the wider public.,BALANC
"On the claim of minimum safety levels across Europe, is the Secretary of State aware that, according to the OECD, France lost, on average, 112 days per 1,000 workers between 2008 and 2018? Spain lost 76 strike days, and Italy lost 42. Yet the UK lost only 20 strike days.",COMPAR
"As I have explained a number of times, we have seen in recent months a flare-up of strikes that are putting people’s lives and livelihoods at risk.",ECONOMIC
It is the minimal standards that the public needs.,RELATE
"It does not remove people’s ability to strike, but it prevents union bosses who perhaps are not as reasonable as the RCN from calling strikes that potentially put people’s lives at risk.",RELATE
"We are mindful of and thankful for the contribution of public service workers in this country, but where unions insist on disproportionate and sometimes plain unsafe levels of industrial action without informing the NHS, for example, and others, we must take the necessary steps to protect the public.",BALANC
"We said in our manifesto, and I repeat now, that it is not fair to let trade union leaders undermine the livelihoods of others, and nor is it fair for them to put lives and livelihoods at risk.",BALANC
"In this Second Reading debate, we are simply asking the unions to tell us when they are going to withdraw their labour so that we can agree a minimum safety level.",RIGHTS
It is just a common-sense safety net to keep the public safe and ease some of the enormous anxiety that they have felt over the last few months.,BALANC
Failing to support the Bill today will mean that Members who oppose this legislation are essentially prepared to put the safety and welfare of their own constituents at risk.,PHYSICAL
"Not only is this legislation a vindictive assault on the basic freedoms of British working people, but it is as empty of detail as it is full of holes.",JUST
"Will my good friend remind the House that section 240 of the Trade Union and Labour Relations (Consolidation) Act 1992 guarantees that trade unions will agree to provide life-and-limb cover during an industrial dispute, because failure to do so could result in a custodial sentence?",LEGAL
"We all want minimum standards of safety, service and staffing levels, and we want them every day, but it is the Minister who is failing to provide them. Instead of holding them to account, they Government are seeking through this Bill to grab sweeping new powers to impose burdens on employers and to remove basic rights from workers across our public service.",RIGHTS
"If the Secretary of State for Transport mandates that 50% of trains need to run on strike days, he knows that Network Rail will mandate that all signal operators need to work, because signals are needed even if just two trains are running. How can the Secretary of State for Business, Energy and Industrial Strategy say this Bill does not remove their right to strike?",AUTONOMY
"I know many Conservative Members will say that they respect, even champion, civil liberties, and I am sure they mean it, but with this Bill they are burning the freedoms for which we fought for centuries and are handing to Ministers unprecedented power over the individuals who are targeted.",JUST
"These people always turn up, often at times of crisis, and work without complaint to provide minimum service levels, and they do it on pay and conditions that are often inferior to what the unions are currently demanding.",COMPAR
This Bill also makes no provision for the compensatory measures the ILO requires alongside such regulations.,RIGHTS
"It threatens teachers and nurses with the sack during a recruitment and retention crisis, and mounts an outright assault on the fundamental freedom of working people, while doing absolutely nothing to resolve the crisis at hand.",JUST
"At the end of the day, the Government have a responsibility to ensure that certain levels of service are provided in key sectors and in our public services, and rightly so.",JUST
"The public expect that, and the Government have a responsibility to oversee that and ensure that these levels of services help to protect and safeguard lives, keep our country safe, support the economy and ensure that the British public—the silent, hard-working majority—can go about living their lives in the way that we all want to see.",RELATE
"Obviously, the current wave of strikes and industrial action is concerning the public, it is also counterproductive when it comes to delivering public services.",ECONOMIC
"It cannot be right that, in the 21st century, our great country and our economy are put at risk by strike action.",ECONOMIC
"We have seen businesses and, in Essex, small and medium-sized enterprises, operating on tight margins—not glitzy corporations—now suffering because of the strikes.",ECONOMIC
"It is reform that we should be talking about today—reform that can lead to better public service delivery, changes to our laws—",RIGHTS
"Importantly, I wish to press the Government to consider widening the list of sectors where minimum service standards are needed.",RELATE
"I wish to ask the Government to ensure that they always look to keep legislation and measures open and under review, so that we can continue to uphold standards to protect the public going about their daily lives.",RIGHTS
"The legislation is nothing more than an attack on democracy—an attack on the rights of workers to withdraw their labour, and a further attack on devolution.",LEGAL
"It also seems that this legislation is in breach of article 11 of the European convention on human rights, especially with regard to proportionate action.",LEGAL
"Richard Arthur, head of trade union law at Thompsons Solicitors, said the Bill raised,

“very serious legal question marks”,

and anticipates legal challenges under article 11 of the ECHR and convention 87 of the International Labour Organisation.",LEGAL
"Despite what the Secretary of State says, it is also clear that this legislation will allow employers to target those they think are part of an awkward squad.",POWER
Allowing employers to decide who has to work on notified strike days clearly infringes on workers’ rights to withdraw labour.,JUST
"Instead of the illegal blacklisting previously done by some companies, employers now can name workers they want to break a strike, and sack those workers if they stay true to their beliefs.",POWER
"It also ignores the fact that section 240 of the 1992 Act, as my hon. Friend the Member for Glasgow South West (Chris Stephens) keeps saying, allows for preserving life and limb, and that unions have their own practices to comply with that legislation.",LEGAL
It also shows an astonishing level of incompetence to bring in legislation that potentially allows them to sack essential workers in vital sectors where there is already a shortage of skilled workers.,POWER
The objective of the Bill is absolutely right: we have to balance the right to strike with the right of people to go about their way of life.,BALANC
