text	pred_label	true_label
However, we also need to maintain a reasonable balance between the ability of workers to strike and the rights of the public, who work hard and expect the essential services that they pay for to be there when they need them. We must be able to have confidence that when strikes occur, peopleâ€™s lives and livelihoods are not put at undue risk. As has become clear from recent industrial action, that is not always the case, so we need a safety net in place to ensure that the public do not become collateral damage.	BALANC	RELATE
it is perfectly proper to have a balance between minimum service levels and peopleâ€™s right to strike.	BALANC	RIGHTS
It is fairly obvious to say that a minimum service level in railways, for example, is about peopleâ€™s livelihoods rather than safety, but that the NHS and the ambulance service not agreeing nationally is a minimum safety level issue.	PHYSICAL	ECONOMIC
The Bill will ensure that we protect the ability of workers to take industrial action, but that we also protect the public from disproportionate disruption to their daily lives and that, to put it simply, one personâ€™s right to strike does not infringe on someone elseâ€™s right to life and limb.	RIGHTS	ECONOMIC
The human rights memorandum that accompanied the Transport Strikes (Minimum Service Levels) Bill last October stated specifically that the Governmentâ€™s legal advice was that it is not justifiable or necessary in a democratic society to have such restrictions in emergency and patient care services, in fire and rescue, or in educationâ€”only in transport.	RIGHTS	RIGHTS
So we clearly cannot continue to rely on voluntary arrangements to ensure the safety of the people we represent.	PHYSICAL	COMPL
Employers will be required to consult the union on the number of workers to be identified in the work notice and the work to be undertaken, and have regard to the unionâ€™s views before issuing that work notice.	REPLIC	COLLECT
Employers must have no regard to whether someone is or is not a member of the unionâ€”or even the CLPâ€”when deciding whether they need to be included in that work notice.	RIGHTS	RIGHTS
It is important to say that I agree with him, for once, because we are trying to work constructivelyâ€”as we shouldâ€”to bring strikes to a conclusion, but we must not do so at the expense of the lives and livelihoods of our constituents.	RELATE	RELATE
The legislation simply brings us into line, as my hon. Friend just said, with many other modern European nations, such as Spain, Italy, France and Ireland.	COMPAR	COMPAR
As I have explained a number of times, we have seen in recent months a flare-up of strikes that are putting peopleâ€™s lives and livelihoods at risk.	ECONOMIC	ECONOMIC
It is the minimal standards that the public needs.	RIGHTS	RELATE
It does not remove peopleâ€™s ability to strike, but it prevents union bosses who perhaps are not as reasonable as the RCN from calling strikes that potentially put peopleâ€™s lives at risk.	RELATE	RELATE
We are mindful of and thankful for the contribution of public service workers in this country, but where unions insist on disproportionate and sometimes plain unsafe levels of industrial action without informing the NHS, for example, and others, we must take the necessary steps to protect the public.	BALANC	BALANC
Not only is this legislation a vindictive assault on the basic freedoms of British working people, but it is as empty of detail as it is full of holes.	POLIT	JUST
If the Secretary of State for Transport mandates that 50% of trains need to run on strike days, he knows that Network Rail will mandate that all signal operators need to work, because signals are needed even if just two trains are running. How can the Secretary of State for Business, Energy and Industrial Strategy say this Bill does not remove their right to strike?	RELATE	AUTONOMY
At the end of the day, the Government have a responsibility to ensure that certain levels of service are provided in key sectors and in our public services, and rightly so.	BALANC	JUST
The public expect that, and the Government have a responsibility to oversee that and ensure that these levels of services help to protect and safeguard lives, keep our country safe, support the economy and ensure that the British publicâ€”the silent, hard-working majorityâ€”can go about living their lives in the way that we all want to see.	RELATE	RELATE
It cannot be right that, in the 21st century, our great country and our economy are put at risk by strike action.	REPLIC	ECONOMIC
We have seen businesses and, in Essex, small and medium-sized enterprises, operating on tight marginsâ€”not glitzy corporationsâ€”now suffering because of the strikes.	ECONOMIC	ECONOMIC
It is reform that we should be talking about todayâ€”reform that can lead to better public service delivery, changes to our lawsâ€”	RIGHTS	RIGHTS
The legislation is nothing more than an attack on democracyâ€”an attack on the rights of workers to withdraw their labour, and a further attack on devolution.	LEGAL	LEGAL
It also seems that this legislation is in breach of article 11 of the European convention on human rights, especially with regard to proportionate action.	LEGAL	LEGAL
Despite what the Secretary of State says, it is also clear that this legislation will allow employers to target those they think are part of an awkward squad.	RIGHTS	POWER
Allowing employers to decide who has to work on notified strike days clearly infringes on workersâ€™ rights to withdraw labour.	JUST	JUST
The objective of the Bill is absolutely right: we have to balance the right to strike with the right of people to go about their way of life.	BALANC	BALANC
I understand the value of a trade unionâ€”I understand that workers may want to organise to protect pay and working conditionsâ€”but what we are seeing is hard-left leaders and militant trade unions taking advantage of economic difficulty to instigate what is effectively a rolling general strike. When those actions put lives at risk, we Conservatives know that we must take action.	COLLECT	COLLECT
The Government are on a mission to take power from the people, with restrictions on the right to protest, restrictions on democracy with voter ID, the removal of huge chunks of human rights through their Retained EU Law (Revocation and Reform) Billâ€”that will scrap more than 4,000 pieces of legislation, many of which cover the basic rights of people in this countryâ€”and now this disgraceful attempt to criminalise workers taking legitimate industrial action.	JUST	JUST
 As with most of this Governmentâ€™s policies, this attempt to deny workers what is universally regarded as a fundamental human right seeks to divide communities and pit worker against worker, forcing some of them to walk past their colleagues and cross picket linesâ€”although everyone here knows that I never have and never will cross a picket line.	JUST	JUST
The Government should be negotiating, not legislating.	CREATE	RIGHTS
The Bill is part of the Governmentâ€™s plan to restrict all our rights and to demonise and criminalise those who are just trying to survive.	JUST	JUST
These are negotiated between the unions and the employers.	BALANC	COLLECT
The Opposition will have to say why all those comparable states, which go much further than us, are somehow acting lawfully, yet we are not.	AUTONOMY	COMPAR
It contains wide, prospective Henry VIII powers, and as we saw during the pandemic, if we give the Government such powers, they abuse themâ€”but they are putting them in legislation.	JUST	POWER
Ministers are trying to have power over Parliamentâ€”that is all the Bill is aboutâ€”and to encourage employers to have power over workers.	POWER	POWER
The restrictive anti-trade union legislation they pushed through in 2016 clearly was not enough for them, so now we see an unprecedented attack that will undermine the most basic of workersâ€™ rightsâ€”the right to withdraw labour.	JUST	JUST
They are striking for the very future of public services, which they witness being run into the ground.	BALANC	ECONOMIC
It is fair and reasonable, and I always come back to the theme of being fair and reasonable, to suggest that some of this legislationâ€”and I will be supporting the Billâ€”is about making sure there is a correct balance between those in the unions who wish to strike and those, who are a majority of my electorate, who continue either to run their own small companies or to work in smaller industries that rely on public services, such as the railway network.	BALANC	BALANC
The Labour party would have us believe that this is some outrageous attack on workersâ€™ rightsâ€”â€œpolitical violenceâ€, said the hon. Member for Jarrow (Kate Osborne)â€”and something that no civilised country could possibly contemplate. No civilised country other than Spain, Italy, Germany, France, or indeed the United States, Australia and Canada, which in some areas have an outright ban on strikes in blue-light services. Normally, Opposition Members idolise Europeâ€™s approach to employment rights, but on the issue of minimum services they are keeping very quiet.	COMPAR	COMPAR
â€œbut regret that the measures in the Gracious Speech fail to ensure that those who put in a hard dayâ€™s work get a decent reward for doing so, or cut the costs to the social security system resulting from the current record 5.2 million workers on low pay and the rising tide of insecurity at work, and call on your Government to bring forward measures setting the Low Pay Commission a five year target to raise the National Minimum Wage faster than average earnings while retaining the capacity to take account of shocks to the economy.â€.	RIGHTS	RIGHTS
This is a landmark Bill that, once implemented, will represent the biggest upgrade in employment rights for a generation. 	RIGHTS	RIGHTS
