text	pred_label	true_label
However, we also need to maintain a reasonable balance between the ability of workers to strike and the rights of the public, who work hard and expect the essential services that they pay for to be there when they need them. We must be able to have confidence that when strikes occur, people’s lives and livelihoods are not put at undue risk. As has become clear from recent industrial action, that is not always the case, so we need a safety net in place to ensure that the public do not become collateral damage.	Conservative Party	Conservatives
The Bill will ensure that we protect the ability of workers to take industrial action, but that we also protect the public from disproportionate disruption to their daily lives and that, to put it simply, one person’s right to strike does not infringe on someone else’s right to life and limb.	Conservatives	Conservatives
So we clearly cannot continue to rely on voluntary arrangements to ensure the safety of the people we represent.	Conservative Party	Conservatives
Employers will be required to consult the union on the number of workers to be identified in the work notice and the work to be undertaken, and have regard to the union’s views before issuing that work notice.	Conservatives	Conservatives
The legislation simply brings us into line, as my hon. Friend just said, with many other modern European nations, such as Spain, Italy, France and Ireland.	Conservatives	Conservatives
It is the minimal standards that the public needs.	Conservatives	Conservatives
We are mindful of and thankful for the contribution of public service workers in this country, but where unions insist on disproportionate and sometimes plain unsafe levels of industrial action without informing the NHS, for example, and others, we must take the necessary steps to protect the public.	Conservatives	Conservatives
Not only is this legislation a vindictive assault on the basic freedoms of British working people, but it is as empty of detail as it is full of holes.	Labour Party	Labour
If the Secretary of State for Transport mandates that 50% of trains need to run on strike days, he knows that Network Rail will mandate that all signal operators need to work, because signals are needed even if just two trains are running. How can the Secretary of State for Business, Energy and Industrial Strategy say this Bill does not remove their right to strike?	Conservative Party	Labour
At the end of the day, the Government have a responsibility to ensure that certain levels of service are provided in key sectors and in our public services, and rightly so.	Conservatives	Conservatives
It cannot be right that, in the 21st century, our great country and our economy are put at risk by strike action.	Conservatives	Conservatives
It also seems that this legislation is in breach of article 11 of the European convention on human rights, especially with regard to proportionate action.	Labour and Co-Operative Party	Scottish National Party
Despite what the Secretary of State says, it is also clear that this legislation will allow employers to target those they think are part of an awkward squad.	Labour Party	Scottish National Party
The objective of the Bill is absolutely right: we have to balance the right to strike with the right of people to go about their way of life.	Conservative Party	Conservatives
The Government should be negotiating, not legislating.	Labour	Labour
These are negotiated between the unions and the employers.	Labour	Labour
The Opposition will have to say why all those comparable states, which go much further than us, are somehow acting lawfully, yet we are not.	Labour Party	Conservatives
It contains wide, prospective Henry VIII powers, and as we saw during the pandemic, if we give the Government such powers, they abuse them—but they are putting them in legislation.	Labour and Co-Operative Party	Labour
They are striking for the very future of public services, which they witness being run into the ground.	Conservative Party	Scottish National Party
This is a landmark Bill that, once implemented, will represent the biggest upgrade in employment rights for a generation. 	Labour Party	Labour
regulations that achieve the policy objective of extending rights to agency workers without unintended consequences for employment agencies and hirers—and we will work on that in due course.	Conservative Party	Labour Party
They ensure that, once the provisions of the Bill that make unfair dismissal a day one right come into force, the automatic unfair dismissal protections from unscrupulous fire and rehire practices will apply once the employee starts work	Labour Party	Labour Party
This brings the provision in line with other changes to unfair dismissal.	Conservative Party	Labour Party
 This will happen after we have consulted, ensuring that it balances the needs of a growing business with the interests of employees.	Conservative Party	Labour Party
 It was a Labour party commitment to launch an Employment Rights Bill within 100 days of taking office, and I am proud that we have delivered on that commitment and that we have this Bill here today.	Conservative Party	Labour Party
It will enable those regulations to apply to section 49 of the National Minimum Wage Act 1998 in order to prevent employers from trying to contract out of their new record keeping obligations.	Labour Party	Labour Party
The Committee’s inquiry demonstrated a clear gap in support for those who experience pregnancy loss and need time to recover and grieve.	Liberal Democrats	Labour Party
Many already do so through their membership of Employers’ Initiative for Domestic Abuse, which empowers employers to tackle domestic abuse.	Labour Party	Labour Party
The disability employment gap stands at 30% and countless disabled workers end up out of work because their employers refuse to make simple changes that would help them to do their jobs.	UK Government	Labour Party
Does the Minister agree that the default right to flexible working in Labour’s Employment Rights Bill will help many disabled workers to keep the jobs they love? What else can the Minister’s Department do to help more disabled people to find and keep work?	Conservative Party	Labour Party
With the increase in conditions that can be variable over time, the flexible working right will help people.	Labour Party	UK Government
They will ensure that the framework functions effectively and delivers on our commitment to modernise working practices.	Labour Party	Labour Party
These amendments will streamline the recognition process, reduce opportunities for unfair practices to occur, and ensure that unions that seek recognition have a fair and transparent statutory route to enable them to do so.	Labour Party	Labour Party
Instead, unions will provide reminders about members’ right to opt out every 10 years, ensuring transparency without imposing costly and time-consuming ballots	Conservative Party	Labour Party
That is fair for workers and businesses.	Labour Party	Labour Party
I am sure that my hon. Friend the shadow Minister does understand it. Does he agree that that is fundamental to understanding why the balance of this legislation is wrong?	Conservative Party	Conservative Party
I have two amendments that the Government can back this afternoon to help them to grow the economy. Those amendments are, of course, new clause 89 and new clause 90.	Conservative Party	Conservative Party
 Businesses need to ensure that the process for terminating is not unduly onerous and that consumers can signal their intent to end the contract through a single communication.	Labour	Conservative Party
 The process will be cheaper than going through the courts—I believe it will be £50 cheaper—so why is the saving so small and not greater?	Conservative Party	Labour Party
The immediate cost savings to the courts will be made on staff, administration and court hearing times.	Conservative Party	Conservative Party
I rise on behalf of my constituents in Farnham, Bordon, Haslemere and Liphook who are opposed to this fundamentally anti-business Bill.	Conservative Party	Conservative Party
The Government claim to be pro-growth and pro-business, yet the Bill is precisely the opposite. The Institute of Directors has warned that it will lead to slower growth, deter investment and bury business under an avalanche of unnecessary regulation.	Conservative Party	Conservative Party
But yet again, Ministers plough ahead, blind to the economic damage that they are about to unleash.	Labour Party	Conservative Party
The amendment and new clause seek to introduce an impact assessment before clause 21 and schedule 2 come into force. Without that, we have to be clear that businesses will be discouraged from hiring in the first place. Flexibility in employment is not one-sided, it benefits both workers and their employers	Labour Party	Conservative Party
That is why it is essential that we accept new clause 87 in the name of the shadow Secretary of State, because we need an impact assessment of how the Bill will affect businesses.	Conservative Party	Conservative Party
I am also pleased to see Government new clause 34 encouraging greater employer compliance and increasing compensation for workers subjected to fire and rehire by raising the maximum period of the protective award from 90 to 180 days.	Labour Party	Labour Party
It is therefore not just my former pupils but millions across the country who will benefit from the biggest upgrade to rights at work in a generation.	Labour Party	Labour Party
I am proud to support our Labour Government in this historic step towards better quality employment across the country, and I look forward to the full delivery of the plan to make work pay.	Labour Party	Labour Party
We have an opportunity to give carers in employment a fair deal right across the country, while also bolstering our economy.	Labour Party	Liberal Democrats
The Government have an opportunity to build on the Carer’s Leave Act 2023, introduced by my hon. Friend the Member for North East Fife (Wendy Chamberlain), and take the next step in providing working carers with the flexibility they need to juggle work and care.	Labour Party	Liberal Democrats
A lot of those discussing this behave as if employees with unfair dismissal rights were unexploded bombs. All the people I represented did not want to bring tribunal claims, they just wanted to have been treated fairly and reasonably in the first place.	Conservative Party	Labour Party
We must be able to have confidence that when strikes occur, people’s lives and livelihoods are not put at undue risk.	Conservative Party	Conservative Party
As has become clear from recent industrial action, that is not always the case, so we need a safety net in place to ensure that the public do not become collateral damage.	Conservative Party	Conservative Party
Do the Government really believe that withdrawing the right of a worker to withdraw their labour is what they are about?	Labour Party	Democratic Unionist Party
There are those who, at the most terrifying time of their lives—perhaps with a poorly loved one—do not know whether an ambulance will arrive, because the unions have refused to provide a national safety net.	Conservatives	Conservative Party
If this is all about safety, why is the word “safety” not used once in the Bill or its explanatory notes?	Conservative Party	Scottish National Party
The Bill will ensure that we protect the ability of workers to take industrial action, but that we also protect the public from disproportionate disruption to their daily lives and that, to put it simply, one person’s right to strike does not infringe on someone else’s right to life and limb.	Conservatives	Conservative Party
I refer Opposition Members to the voluntary arrangements that were successfully made with the Royal College of Nursing, which did provide a national guarantee. In that case, it would not be necessary to put the measures in place.	Labour Party	Conservative Party
