text	pred_label	true_label
It is fairly obvious to say that a minimum service level in railways, for example, is about people’s livelihoods rather than safety, but that the NHS and the ambulance service not agreeing nationally is a minimum safety level issue.	STRIKE	STRIKE
The human rights memorandum that accompanied the Transport Strikes (Minimum Service Levels) Bill last October stated specifically that the Government’s legal advice was that it is not justifiable or necessary in a democratic society to have such restrictions in emergency and patient care services, in fire and rescue, or in education—only in transport.	STRIKE	STRIKE
Instead of reaching for the statute book and trying to legally constrain trade unions from their legitimate action, why does the Secretary of State not address the fundamental causes: poverty pay, stress, bad conditions and inadequate service in all parts of the UK?	STRIKE	STRIKE
It is up to unions to ensure public safety and not put lives at risk.	STRIKE	STRIKE
The Government will always defend the principle that workers should be able to withdraw their labour.	GENERAL	STRIKE
On the claim of minimum safety levels across Europe, is the Secretary of State aware that, according to the OECD, France lost, on average, 112 days per 1,000 workers between 2008 and 2018? Spain lost 76 strike days, and Italy lost 42. Yet the UK lost only 20 strike days.	STRIKE	STRIKE
We said in our manifesto, and I repeat now, that it is not fair to let trade union leaders undermine the livelihoods of others, and nor is it fair for them to put lives and livelihoods at risk.	STRIKE	STRIKE
Failing to support the Bill today will mean that Members who oppose this legislation are essentially prepared to put the safety and welfare of their own constituents at risk.	STRIKE	STRIKE
We all want minimum standards of safety, service and staffing levels, and we want them every day, but it is the Minister who is failing to provide them. Instead of holding them to account, they Government are seeking through this Bill to grab sweeping new powers to impose burdens on employers and to remove basic rights from workers across our public service.	STRIKE	STRIKE
Obviously, the current wave of strikes and industrial action is concerning the public, it is also counterproductive when it comes to delivering public services.	GENERAL	STRIKE
I wish to ask the Government to ensure that they always look to keep legislation and measures open and under review, so that we can continue to uphold standards to protect the public going about their daily lives.	STRIKE	STRIKE
It also shows an astonishing level of incompetence to bring in legislation that potentially allows them to sack essential workers in vital sectors where there is already a shortage of skilled workers.	STRIKE	STRIKE
If the trade unions offer a safe level of service at the very least, there is no need to have a minimum service level.	STRIKE	STRIKE
The Government should be negotiating, not legislating.	GENERAL	STRIKE
These are negotiated between the unions and the employers.	STRIKE	STRIKE
The disingenuousness comes from making comparisons with other nations under ILO regulations, which clearly have a completely different context.	STRIKE	STRIKE
If the Government are serious about having minimum service levels, and if they are serious about negotiating, which nobody in the Government seems able to do, they should agree to compulsory arbitration or mediation to resolve disputes, but they are not interested in that.	STRIKE	STRIKE
