text,concept,person
"The Government firmly believe that the ability to strike is an important element of industrial relations in the UK. That ability is rightly protected by law, and we understand that an element of disruption is likely with any strike.",LEGAL,Grant Shapps
"However, we also need to maintain a reasonable balance between the ability of workers to strike and the rights of the public, who work hard and expect the essential services that they pay for to be there when they need them. We must be able to have confidence that when strikes occur, people’s lives and livelihoods are not put at undue risk. As has become clear from recent industrial action, that is not always the case, so we need a safety net in place to ensure that the public do not become collateral damage.",RELATE,Grant Shapps
"I believe in the fundamental right of a worker to withdraw their labour, whether that happens to be from an employer or against the Government.",AUTONOMY,Jim Shannon
"But I do not think we should get into a 1970s spiral, where we end up with higher wage claims and higher wage settlements, with higher wage claims and inflation continuing for ever.",ECONOMIC,Grant Shapps
"Clearly, if we were to meet all the inflation busting demands of the unions, that would make life harder not only for some but for every single family in this country.",ECONOMIC,Grant Shapps
"The Government are therefore absolutely clear: we want constructive dialogue with the unions, and the public have had enough of the constant, most unwelcome, and frankly dangerous, disruptions to their lives.",RIGHTS,Grant Shapps
it is perfectly proper to have a balance between minimum service levels and people’s right to strike.,RIGHTS,Grant Shapps
"Millions of people who rely on essential transport to get to work or to family commitments now every day have the extra stress of worrying about making alternative, sometimes costly, arrangements because of the forever strikes.",ECONOMIC,Grant Shapps
"That is why we need minimum safety and service levels to keep livelihoods and lives safe. It is frankly irresponsible, and even surprising, for the Opposition to suggest otherwise.",ECONOMIC,Grant Shapps
"It is fairly obvious to say that a minimum service level in railways, for example, is about people’s livelihoods rather than safety, but that the NHS and the ambulance service not agreeing nationally is a minimum safety level issue.",ECONOMIC,Grant Shapps
"The Bill will ensure that we protect the ability of workers to take industrial action, but that we also protect the public from disproportionate disruption to their daily lives and that, to put it simply, one person’s right to strike does not infringe on someone else’s right to life and limb.",ECONOMIC,Grant Shapps
"The reality is that safe agreements are negotiated between the staff and the employers. That happens on the ground, the process and the outcomes protect the NHS, because that is what staff want to do.",RELATE,Rachael Maskell
The Bill establishes a legal framework to implement minimum safety and service levels during periods of strike action.,RIGHTS,Grant Shapps
"The legislation will allow regulations to be made to ensure that specified services cannot shut down completely when workers strike. That is to maintain crucial and, in many cases, life-saving services. The relevant sectors specified in the proposed legislation are: health services, fire and rescue services, education services, transport services, decommissioning of nuclear installations and management of radioactive waste and spent fuel, and border security.",RIGHTS,Grant Shapps
"The human rights memorandum that accompanied the Transport Strikes (Minimum Service Levels) Bill last October stated specifically that the Government’s legal advice was that it is not justifiable or necessary in a democratic society to have such restrictions in emergency and patient care services, in fire and rescue, or in education—only in transport.",RIGHTS,Joanna Cherry
"Ultimately, what people in our constituencies need to know, whether or not we know them, is that in those six sectors a minimum service will be provided regardless of the right of people in the sector to hold back their labour on a pay negotiation or for any other reason.",BALANC,Richard Graham
"Using the powers proposed in the Bill, regulations will set out the specific services within each sector in which a minimum level of service will be applied, they will also set out the levels themselves.",RIGHTS,Grant Shapps
"Those regulations will be tailored to each relevant service, taking account of the different risks to public safety or the impacts on daily life and on the economy.",BALANC,Grant Shapps
"Of course, the Government may choose not to use the regulation-making powers in the Bill if adequate voluntary agreements, where necessary, are already in place between employers, the relevant sectors and the relevant unions.
",BALANC,Grant Shapps
So we clearly cannot continue to rely on voluntary arrangements to ensure the safety of the people we represent.,COMPL,Grant Shapps
"We have an opportunity to keep people, their families and their jobs safe during periods of disruption, and that is what we intend to do.",PHYSICAL,Grant Shapps
The Bill and subsequent regulations are designed to enable employers to specify the workers required to meet minimum safety and service levels during strikes within relevant sectors.,PHYSICAL,Grant Shapps
