text,pred_label,true_label
"The amendments will also clarify that supporting a worker is a legitimate purpose for access, and they will provide a power to bring forward secondary legislation to make further provision as to how the CAC is to determine the level of penalty fines for non-compliance with access agreements.",RIGHTS,RIGHTS
" We have made changes in this House in relation to employment tribunals and unfair dismissals. The reintroduction of charges on individuals who want to claim for unfair dismissal has reduced the number of such claims by 70%.",JUST,ADEQ
"We all want minimum standards of safety, service and staffing levels, and we want them every day, but it is the Minister who is failing to provide them. Instead of holding them to account, they Government are seeking through this Bill to grab sweeping new powers to impose burdens on employers and to remove basic rights from workers across our public service.",RIGHTS,RIGHTS
"The truth is that the number of days lost to strike action now is less than one tenth of what it was in the 1980s. Of far greater importance to the state of the economy is the chronic underinvestment in skills. This Bill, while obnoxious, is utterly irrelevant to the key problems of this country. The tube workers aside, only teachers and firefighters have caused any real national concern since 2010, and even they normally did so only one day at a time. Even the resistance of the National Union of Rail, Maritime and Transport Workers to plans for keeping the underground open all night are not that unreasonable. Night shifts are unsociable, unhealthy and potentially dangerous as they lead to over-tiredness. But the central point here is not acknowledged in the Bill. The Government seem to believe that whenever a strike occurs, it is always the fault of the workers irrespective of what the employer has done.",RELATE,RELATE
"The Bill, the employment tribunal fees and the attack on the Human Rights Act are a combined attack on working people by a Government who have given up the mantle of one nation.",JUST,POLIT
"Many individuals do not wish their employers to know that they belong to a union, because, sadly, victimisation of trade union members is still commonplace. Surely, in a free society, trade unions should be able to guarantee to their members that this information will not be disclosed except under the most stringent conditions.",ADEQ,RELATE
"The hon. Lady might say that, but recent analysis shows that in the past four years, 3 million days have been lost to strike action. I am not content with the impact of that on my constituents. Hertsmere is close to London, and when there is a tube strike or a  train strike, my constituents are massively adversely affected.",BALANC,ECONOMIC
"The Bill and subsequent regulations are designed to enable employers to specify the workers required to meet minimum safety and service levels during strikes within relevant sectors.",BALANC,PHYSICAL
"Amendment 329, tabled in my name, seeks to further protect against that harmful practice, ensuring that any clause in an employment contract that allows an employer to change the terms without the employee’s consent would be unenforceable, especially in cases of unfair dismissal related to a refusal to accept changes",LEGAL,RIGHTS
"Trade unions could easily be imposed on workplaces across the country, with small employers being particularly vulnerable.",BALANC,POWER
"Above all else, the Bill will start the process of restoring faith in the trade union movement so that those in the private sector can feel that they have workplace representation without a militant tendency that could destroy their livelihoods or funding a political party that they do not agree with.",POLIT,POLIT
"but its primary purpose is to introduce stringent restrictions on trade unions� ability to take industrial action,",RIGHTS,AUTONOMY
"�had no choice but to put up their propaganda signs",RIGHTS, because they were told everyone else was doing it and they would be the only ones who didn�t�.
"We have a Government who talk about growth but legislate to destroy it.",BALANC,ECONOMIC
"During consultation, the Government did not include creditor-initiated bankruptcy and, having read some of the responses, I think that was right.",COURTS,COURTS
"It is true that most employers are probably decent and reasonable, but there are a distinct minority of them who are intransigent and who behave thoroughly unreasonably and badly. To penalise and intimidate workers in such cases, when it is the employer who has overwhelmingly caused the breakdown in industrial relations, is wholly unfair and wrong.",BALANC,RELATE
"Clauses 7 and 8 extend the notice requirements for any industrial actions and restrict the effect of any ballot for strike action to four months. These clauses are designed to narrow the effectiveness of any industrial action, even if it has reached the much higher requirements of turnout and support required for clauses 2 and 3. There is no sign of any evidence that could justify these changes and no sign of a clamour for employers to change the existing system.",REPLIC,REPLIC
"The fact is that minimum service levels do not stop strikes in Europe.",COMPAR,COMPAR
"If the Opposition can find a practical solution",POLIT, I look forward to hearing it.,REPLIC
"I could talk about NDAs at some length, but I do not have time to today. They are definitely problematic, and they are definitely concealing the extent of the problems that women suffer when they announce their pregnancies.",POLIT,ADR
"As someone who has campaigned with organisations such as HOPE not hate, is my hon. Friend as concerned as I am that the Bill will damage funding for those organisations and their vital anti-racist, anti-fascist activity?",CREATE,POLIT
"The Bill highlights Labour’s complete misunderstanding of how to help business, employees and, of course, the economy overall.",ADEQ,POLIT
" Clauses 2 and 3 are deliberately designed to undermine the bargaining power of trade unions by requiring minimum turnouts, thresholds and support before a strike ballot is valid. The new proposals demand a mandate for unions that breaks the democratic conventions of our society by counting votes not cast as essentially no votes.",AUTONOMY,AUTONOMY
"Strikes have a profound effect on other members of society",ACCESS, which is why it is appropriate to put in place a reasonable threshold before strike action can be taken. For example
"The Bill politicises the role and, to the trade union side, appears to put the certification officer on one side of the divide, rather than keeping them as a neutral arbiter.",AUTONOMY,RELATE
"The Bill�s new strike ballot threshold will also affect women more than men.",RIGHTS,CREATE
"Does my hon. Friend agree that it is a bit of a cheek for the right hon. Member for Kingston upon Hull West and Hessle (Alan Johnson) to question the constitutional propriety of the Bill, which has an election mandate behind it from the election four months ago, whereas, under the previous Labour Government, the unions effectively bought policy through the Warwick I and Warwick II agreements in exchange for large amounts of funding for the Labour party?",BALANC,POLIT
"As the Scottish National party�s spokesperson for equalities, women and children, I, along with colleagues across the Opposition Benches, recognise the important role that trade unions play in collective bargaining power that has benefited many women across my constituency to obtain fair pay for fair work in the recent equal pay dispute.",COLLECTIVE,JUST
" We are also concerned with the new proposals on picketing and providing names. Such measures can only result in a new blacklist. Anyone who is a picket might as well wear two armbands��union picket� on one arm and �blacklist me� on the other. That sets a very dangerous precedent.",AUTONOMY,AUTONOMY
"When they talk about “all reasonable steps”, it is only reasonable steps, it is not every single step in the entire history of the universe that anyone could ever dream up or imagine.",BALANC,COMPL
"They were typically extremely destressed by their experiences, and for quite a lot of them, their mental health had deteriorated substantially in the course of what they had gone through.",RELATE,PHYSICAL
"The Government, unions, employers and workers have a role to play in ensuring that essential services continue even during strikes.",BALANC,BALANC
"The Government’s plan to make work pay is a core part of our mission to grow the economy, raise living standards across the country and create opportunities for all. It will tackle the low pay, poor working conditions and poor job security that have been holding our economy back. The Bill is the first phase of delivering our plan to make work pay, supporting employers, workers and unions by raising the minimum floor of employment rights, raising living standards across the country and levelling the playing field for those businesses that are engaged in good practice.",ECONOMIC,ECONOMIC
"The Secretary of State talks about women on low pay. Many of these women and men do not have bank accounts, yet he is still trying to get rid of check-off, which makes it easier for people to join trade unions. How is that helping people to defend their own rights?",POLIT,ACCESS
"Those are real people whose livelihoods are at risk because of the Bill",JUST,JUST
"I thank my hon. Friend for highlighting how the Bill protects the rights of working people across the country when they are affected by strike action that has no proper mandate.",RIGHTS,RIGHTS
"Surely he agrees that it is far better in the private sector when major companies are prepared to deal with trade unions and give them time to go about their trade union duties. Does he agree that that is more enlightened employment than the stone-age stuff we are getting from the Government?",RELATE,RELATE
"The Government are pressing ahead with plans to implement the provisions relevant to NDAs in the Victims and Prisoners Act 2024 and the Higher Education (Freedom of Speech) Act 2023.",LEGAL,ADR
"Some do not have online and technical skills, so how will the use of a financial intermediary work",POWER,ADEQ
"Many of them are on low incomes, they are often women, and they cannot afford to use their right to carer’s leave unless it becomes a paid right.",RIGHTS,RIGHTS
"�Strike action",AUTONOMY, fox hunting
"They are protecting the cohesion of our communities, the standards of living we should all be able to enjoy and the rights of all workers.",ECONOMIC,JUST
"This is to ensure that the regulations can clearly set out details as part of defining the circumstances in which a pregnant woman can still be fairly dismissed.",ADEQ,COMPL
"We said in our manifesto, and I repeat now, that it is not fair to let trade union leaders undermine the livelihoods of others, and nor is it fair for them to put lives and livelihoods at risk.",RELATE,BALANC
"the Bill will ensure that workplace rights are fit for a modern economy, empower working people and contribute to economic growth.",ECONOMIC,ECONOMIC
"This is a vindictive Bill that is designed not to address a social, moral or economic priority, but to fundamentally damage political opposition. It is more than a step too far.",ECONOMIC,POLIT
"As for the issue of people attending picket lines and putting on armbands, numerous Members have said that it would be far better to put on a shirt that read �Blacklist me�I do not want further employment.� Why not put a target on the back, and then put on a big hat? And as for the issue of agency workers, I can see a problem with people on benefits who will be sanctioned if they do not agree to be bussed into places where there are disputes, and to break strikes.",POLIT,AUTONOMY
"This Bill balances the rights of trade unions with those of working people, commuters and businesses.",BALANC,BALANC
"The Government claim to be the party of working people, but threatening the right to take industrial action tilts the balance of power in the workplace too far in favour of employers. It will mean that workers are unable to stand up for decent services and safety at work, or to defend their jobs or pay. It is clear that the Government are not interested in encouraging workplace democracy. Instead, they are attempting to prevent midwives, firefighters, teachers and cleaners from protesting  against cuts in jobs, pay and conditions. I find this unacceptable, and I very much hope that the Government will reconsider these calamitous proposals.",POLIT,BALANC
"The Bill is an attack on our civil liberties and our human rights. As such, it does not deserve a Second Reading.",JUST,AUTONOMY
"As a result of this Bill, there may well be fewer strikes on less substantive matters that are not viewed by the unions� own members as sufficiently serious to justify putting their employer and thus their job in jeopardy or that seriously inconvenience customers and the general public.",POLIT,CREATE
"My final question is: why now? What great industrial crisis exists in Britain today that requires this Bill to be at the epicentre of the Government�s legislative programme? There is none.",POLIT,ADEQ
"it is perfectly proper to have a balance between minimum service levels and people’s right to strike.",BALANC,RIGHTS
"My right hon. Friend the Member for Haltemprice and Howden (Mr Davis) raised some concerns about the picketing code, and those concerns were reflected in other speeches, too. I am a little puzzled by those concerns because the clauses in the Bill on picketing were taken directly, word for word, from the code on picketing, a statutory code that has existed since 1992, which the previous Labour Government made no attempt to amend and which no union has ever written to me to ask me to amend.",LEGAL,COMPL
"It is just a common-sense safety net to keep the public safe and ease some of the enormous anxiety that they have felt over the last few months.",JUST,BALANC
"They will expand access rights, enabling access agreements to cover communicating with workers in ways that do not involve entering premises—for example, connecting digitally using technology—therefore modernising our antiquated industrial relations framework.",RIGHTS,ADEQ
"It is members of trade unions, who are working people, that the Bill seeks to protect.",BALANC,REPLIC
" As a result, the agency may be able to help workers get the money they are owed more quickly than if they had to go through an employment tribunal.",BALANC,ENFORCE
" Unions must take reasonable steps to ensure that members do not participate in strikes if they have been named in a work notice. It is up to unions to ensure public safety and not put lives at risk.",BALANC,PHYSICAL
"There is a sinister and dangerous authoritarianism to the Government�s actions. Attacking the funding of the Labour party, as the Bill clearly and deliberately does, breaks many long-standing political conventions.",POLIT,POLIT
"The Bill dictates that industrial action, including strike action, will only be lawful if a minimum 50% turnout among those trade union members entitled to vote is achieved, while additionally requiring 40% of those members balloted to vote in favour of industrial action across what the Government term �important public services�. This term is of great significance. The Tory manifesto, as well as the subsequent Queen�s Speech briefings, stated that the 40% requirement would apply only to four �essential public services�: health, fire, transport and education services. Yet the Government have now extended this list to include other sectors, such as border security, the decommissioning of nuclear installations and the management of radioactive waste.",RIGHTS,REPLIC
"and, perhaps more to the point, who will pay for the use of that financial intermediary? Will the cost fall on the debtor and be greater than the current system of court fees?",COURTS,ECONOMIC
"Importantly�I am a Welsh MP�we have heard that the Bill breaches the devolution settlement with far-reaching consequences for relationships and public policy in wholly devolved areas such as health and education, whether in Wales or Scotland, let alone at the level of local authorities in England or London.",LEGAL,LEGAL
"Does she agree that the Government�s proposals are a threat to the security of our country because they threaten democracy?",JUST,AUTONOMY
"this Bill is causing division where there was harmony�between the nations, within organisations, between agency workers and workers, and between management and workers�and that it will therefore undermine productivity, cause conflict and protest and be contrary to its alleged objectives?",RELATE,RELATE
"It is clear that trade unions can play a vital role, so why are enclaves of radicalism such as the British Medical Association, the Headmasters� and Headmistresses� Conference, the Royal College of Midwives, the Royal College of Nursing and the Society of Authors being attacked in this way?",ADEQ,COLLECTIVE
"Clauses 54 and 55 will increase that cost by giving more time off to public sector union officials at the taxpayer’s expense. That is not right when the Chancellor is asking Ministers to make cuts to their Departments across the board.",ECONOMIC,JUST
"Does my hon. Friend agree that the  Bill�s real agenda is to stop public sector workers speaking out against this Government�s attacks on their pay and conditions?",JUST,AUTONOMY
