text	pred_label	true_label
She spoke about SMEs struggling because of strikes.	Labour and Co-Operative Party	not_statement
That was in response to the amendments, so it is a much more up-to-date comment than the one the hon<prd> Member mentioned.	not_statement	not_statement
Although it is true that life-and-limb measures exist, we have seen through the many months of rail closures and the strikes that took place last week and in December that unfortunately minimum service levels in one case, and actually minimum safety levels in another, have simply not been available.	Conservative Party	not_statement
In addition to significant and unnecessary new burdens, trade unions will also be expected to pay a levy to fund the certification officers� new role. As we heard from the Secretary of State, the role will be much more proactive. They will have new powers to impose financial penalties and to scrutinise how unions use their political funds and for what purposes.	Labour Party	Labour Party
�It isn�t fair on parents	Conservative Party	 who could be missing out on a day�s pay by not working when teachers strike.�
There is a sinister and dangerous authoritarianism to the Government�s actions. Attacking the funding of the Labour party, as the Bill clearly and deliberately does, breaks many long-standing political conventions.	Labour Party	Labour Party
I agree with the right hon. Member for Haltemprice and Howden (Mr Davis), who said that bits of the Bill were over the top�for instance, the requirement for pickets to give their names to the police.	Conservative Party	Labour Party
Can he accept that he has failed, and it is time to get the trade unionists into the room and to put this legislation in the bin, where it belongs?	not_statement	Labour Party
But now the current Tory Government want to impose more restrictions, which could see local unpaid trade unionists dragged into court for all manner of reasons including placing messages on Facebook or Twitter without giving the requisite notice demanded by the Government.	Labour Party	Labour Party
“choking off innovation	 investment and growth”	 investment and growth.”,Conservative Party
In my constituency alone we have over 5,000 businesses, the vast majority of which are small and medium-sized enterprises.	Conservatives	not_statement
Does the Secretary of State for Business, Energy and Industrial Strategy deny that the Health Secretary has told others to lobby the Prime Minister for improved pay offers?	Labour	not_statement
(2) The director must supply details of the register under subsection (1) with the Secretary of State within 12 months of the passing of this Act and every 12 months thereafter, subject to the provisions of the Data Protection Act 2018.	not_statement	not_statement
I see nothing in this legislation that will prevent them from making the difficult decision to strike, or from joining their colleagues in unions.	not_statement	not_statement
His soundbites are easily proven to be false.	Labour	not_statement
(3E) In subsection (2)(f) and subsections (3A) and (3B), a reference to the workplace includes remote and hybrid work environments.	not_statement	not_statement
I know that Opposition Members do not want to accept this fundamental point, but their constituents’ lives are being put at risk by the NHS’s inability to put the correct cover in place with sufficient notice.	Conservative Party	Conservative Party
Grant Shapps I suppose the fundamental point is that we hope very much that, in many cases, we will not need to use the powers conferred by the legislation, but we have seen that that will not always be possible.	Conservative Party	not_statement
Today, we see that those on the left are at it again. They love a revolution, but this time they could not even convince their Front-Bench Members�well, they are on the Front Bench now�to follow them.	not_statement	Conservative Party
I would also welcome any clarity the Minister can provide around how he intends to escape the inevitable confusion arising when attempting to ballot a workplace where some occupations are covered by the �important public services� provisions and others are not. Will the Minister give further details on the requirement for �reasonably detailed� information to be provided on ballot papers? If a failure to provide such information is to be a basis for legal action by employers against workers taking industrial action, it is crucial that the House should be informed in advance of how �reasonably detailed� is to be defined	Labour Party	Labour Party
”  This new clause would create a duty on employers with 5 or more employees to have a policy outlining the support they provide to workers who are victims of domestic abuse.	not_statement	not_statement
The Bill potentially puts the Government in breach of international conventions and European law. It breaches established conventions on the funding of political parties and political campaigning.	Labour and Co-Operative Party	Labour and Co-Operative Party
Grant Shapps There is an array of riches.	not_statement	not_statement
(4) Regulations under section 80EF may specify matters which are, or are not, to be treated as remuneration for the purposes of this section.	not_statement	not_statement
a very high percentage of people who are trade union representatives and members are extremely concerned about this Bill�s possible infringement  of their right and freedom to assemble, which is guaranteed by article 11 of the European convention on human rights.	Labour Party	Independent (Unionist)
Every clause in the Bill has been designed to make it harder for ordinary people to organise themselves at work and to advance and defend their rights, and to make it harder for their national organisations to operate on their behalf. That is why Scottish National party Members oppose these proposals completely.	Labour Party	Scottish National Party
Like many Members�although I am not sure about the previous speaker�I have had thousands of conversations with constituents over the past year, including, in my city of Cambridge, at 30 or 40 hustings during the general election, and to my recollection not once were the issues addressed in the Bill raised, not even by my opponents, including those who tried to paint my employment by Unison for a dozen years as something of which I should be ashamed.	Conservative Party	Labour Party
”  New clause 97—Rights of employer and employee to minimum notice—  “(1) Section 86 of the Employment Rights Act 1996 (Rights of employer and employee to minimum notice) is amended as follows.	not_statement	not_statement
That is something we know his desperate Prime Minister has been considering.	Labour Party	not_statement
It will come as no surprise to anyone who has heard the Tories� poisonous rhetoric towards trade unions that this Bill should seek to undermine workers� rights. If anybody had yet to see through the Tories� claim to be the �party of working people�, the Bill exposes that claim as the ridiculous and ludicrous lie that it is.	Labour Party	Scottish National Party
(6) The reference to a contravention of the Equality Act 2010 includes a reference to a breach of an equality clause or rule, insofar as it relates to employment or working practices.	not_statement	not_statement
I may not have seen it in the Bill, but does the Minister have any plans to ensure that this becomes a protected area of sick leave?	Labour Party	Conservative Party
However, Ministers have not given the Regulatory Policy Committee the time to review the Government’s impact assessment and then inform the House about the consequences of the legislation.	not_statement	not_statement
But what I would do is sit around the table and resolve this dispute with the trade unions.	Scottish National Party	not_statement
I have been a Member of this House for some seven years now, and I cannot recall a measure that is at once so irrational and so insulting.	Conservative Party	not_statement
Its committee on freedom of association has expressly set out the two circumstances in which it may be appropriate: where strike action would pose a risk to life, safety or health; or where the service is not essential in the strict sense of the word, but where repeated strikes would bring a very important sector to a standstill.	Conservative Party	not_statement
New clause 6—Workplace contravention of Equality Act: obtaining information—  “(1) In this section—  (a) P is a worker who thinks that a contravention of the Equality Act 2010 has occurred in relation to P’s employment or working practices;  (b) R is P’s employer and P thinks that R is responsible for the contravention mentioned in paragraph (a).	not_statement	not_statement
Employers will also be required to notify the Government of redundancies that meet the threshold set in secondary legislation.	Conservatives	not_statement
Amendment 320, page 129, line 29, at end insert—  “(5A) Omit section 155 (Qualifying period of employment).	not_statement	not_statement
My last point is about what will be covered by the definition of “transport services”.	not_statement	not_statement
””  This new clause would slightly extend the circumstances in which an employee is considered as unfairly dismissed after making a protected disclosure.	not_statement	not_statement
They will expand access rights, enabling access agreements to cover communicating with workers in ways that do not involve entering premises—for example, connecting digitally using technology—therefore modernising our antiquated industrial relations framework.	Scottish National Party	Labour Party
I do not see the problem with electronic voting, either. It will eventually be introduced, and if we are to ask for higher turnouts, electronic voting is a must.	Labour Party	Conservative Party
With the increase in conditions that can be variable over time, the flexible working right will help people.	Labour Party	UK Government
We will do all we can to protect our constituents, our communities and our society.	Conservative Party	not_statement
Government amendments 127 to 129.	not_statement	not_statement
We on the Conservative Benches pledged in our manifesto to tackle this issue, and I am pleased that the Conservative Government have put this Bill before the House so speedily. Clause 2 introduces a 50% voting threshold, which is essential to ensure that a small vocal minority is not able to exert undue influence in often quite tense industrial disputes.	Labour Party	Conservative Party
”  New clause 63—Protection of contracts of employment—  “(1) The Employment Rights Act 1996 is amended as follows.	not_statement	not_statement
The Bill is about how they can do so safely.	Labour Party	not_statement
The right to be part of a trade union to campaign for protection at work is a fundamental socioeconomic right. It is enshrined in the UN�s universal declaration of human rights and the international covenant on civil and political rights	Labour Party	Labour Party
Today, as we welcome this transformative legislation, I think of my former students. Their lives will be significantly improved by better wages, stronger workers’ rights and a fairer economy.	Scottish National Party	Labour Party
This is a landmark Bill that, once implemented, will represent the biggest upgrade in employment rights for a generation. 	Labour Party	Labour
(6) Part 2 of Schedule A1 contains provision about rights of agency workers to reasonable notice in relation to shifts.	not_statement	not_statement
Why are they tabling so many amendments and giving them just two days’ scrutiny?	Conservative Party	not_statement
Do the Government really believe that withdrawing the right of a worker to withdraw their labour is what they are about?	not_statement	Democratic Unionist Party
This Bill, the so-called Trade Union Bill, is in reality a threat to all our rights at work. The Conservatives claim to be the �party of working people�, yet with this Bill they have committed the biggest attack on workers� rights in 30 years.	Labour Party	Labour Party
Reference has been made to the East of England Ambulance Service NHS Trust, which I know has had a really tough time over many years.	not_statement	not_statement
(2) At the end of the five year period under subsection (1), the rate of Statutory Sick Pay must be no less than 80% of the National Living Wage.	not_statement	not_statement
Moreover, the general secretary of the European Trade Union Confederation, Esther Lynch, said:  “The UK already has among the most draconian restrictions on the right to strike in Europe, and the UK government’s plans would push it even further away from normal, democratic practice across Europe”.	Scottish National Party	not_statement
The Secretary of State is hiding behind warped misunderstandings of the International Labour Organisation’s statute book and misleading comparisons with Europe.	Independent	not_statement
The Government are demanding a democratic standard in relation to balloting not sought by any other organisation, or by many Members of the House.	not_statement	Labour Party
The Bill�s impact assessment totally fails to account for the disproportionate effect the Bill will have on women workers.	Conservative Party	Labour Party
Would it be more than inflation?	not_statement	not_statement
This brings the provision in line with other changes to unfair dismissal.	Conservative Party	Labour Party
