text	pred_label	true_label
�the right of individual labouring men and women to adjust their wages and conditions by collective bargaining	WAGES	 including the right to strike�
In the short time that I have, I will talk about the Bill.	GENERAL	not_statement
We know that because, last autumn, his own Government assessed that minimum service levels were not needed for the emergency services due to existing regulations and voluntary arrangements.	STRIKE	not_statement
On article 11, she knows as well as I do that the measures have to be “necessary”.	GENERAL	not_statement
If this is all about safety, why is the word “safety” not used once in the Bill or its explanatory notes?	not_statement	STRIKE
Angela Rayner I absolutely agree with my friend.	not_statement	not_statement
In that case, it would not be necessary to put the measures in place.	STRIKE	not_statement
I come to the liability this Bill places upon trade unions.	GENERAL	not_statement
I support minimum service levels for our critical services.	not_statement	not_statement
Amendment 2, page 33, line 11, at end insert—  “( ) in subsection (5), after “child” insert “or as a result of pregnancy loss.	not_statement	not_statement
I intend to work with colleagues to ensure that our Department does its bit in that respect.	not_statement	not_statement
Minimum service levels should also apply to our ambulance service.	STRIKE	not_statement
I welcome the Bill, which will drastically limit the exploitative use of fire and rehire.	SECURITY	SECURITY
The more they get a taste for it, the further they want to go.	STRIKE	not_statement
It is the minimal standards that the public needs.	STRIKE	STRIKE
In December, President Biden made his most recent intervention in union rights when he signed legislation that imposed an outright ban on a national railroad strike.	STRIKE	not_statement
The Bill is an affront to democracy. It is simply part 2 of that gagging Act, and goodness knows what will happen in part 3. It is designed to tie the hands and close the mouths of trade unions and their members, and to slit the throats of the parliamentary Opposition while the Tories hack their way to a state shrunken by their crass and flawed ideology. It is designed to ease through swingeing cuts in the public sector with no organised opposition, to proliferate the low-wage economy, and to help the Tories� friends and donors to make millions on the back of a disorganised, downtrodden and low-paid work force.	GENERAL	STRIKE
We all have a primary duty to protect our constituents and our communities.	STRIKE	not_statement
New clause 84 and amendment 284 rightly demand that the Secretary of State assess the impact of clause 7 before it comes into force. Rushed policymaking will not help workers or businesses, it will create uncertainty and drive investment away.	not_statement	GENERAL
This is a regressive Bill that threatens to undermine basic civil rights and reverse progress in achieving workplace equality. I urge Members on both sides of the House who do not want to see that progress reversed to vote against the Bill.	GENERAL	EQUAL
The Bill pushes us towards a more adversarial relationship between management and the workforce. Does the Minister really think that deals such as those done on behalf of  the UK economy with GM or Nissan will be made easier through this Bill when its provisions lend themselves to mutual suspicion, acrimony, work-to-rule and more disruptive industrial relations? The ability of this country to land more inward investment is compromised through the Bill.	GENERAL	STRIKE
(2) Regulations under subsection (1) must be published within one year of this Act being passed.	not_statement	not_statement
]  Madam Deputy Speaker Order.	not_statement	not_statement
[Interruption.	not_statement	not_statement
As Liberty has observed, the Bill does not create any form of minimal service.	not_statement	not_statement
The International Labour Organisation itself says—I will cover this shortly in my speech—that it is perfectly proper to have a balance between minimum service levels and people’s right to strike. I support the ILO in saying that, I absolutely agree it is right.	STRIKE	STRIKE
In addition to significant and unnecessary new burdens, trade unions will also be expected to pay a levy to fund the certification officers� new role. As we heard from the Secretary of State, the role will be much more proactive. They will have new powers to impose financial penalties and to scrutinise how unions use their political funds and for what purposes.	GENERAL	GENERAL
(2) Each annual report must describe—  (a) so far as appropriate, whether each relevant employment rights change applies or is intended to apply at the time of its commencement to seafarers on a relevant service within the meaning given by section 1 of the Seafarers (Wages and Working Conditions) Act 2023;  (b) any proposals by the Secretary of State to apply any relevant employment rights change to such seafarers subsequent to commencement;  (c) the extent to which the application of changes to employment rights to seafarers is affected by any change or prospective change to the Maritime Labour Convention, adopted on 23 February 2006 by the International Labour Organisation.	not_statement	not_statement
A trade union should be, I believe, a body that concerns itself with the rights and welfare of its members. It should be an organisation that strives to improve the working lives of people. It should always seek to work in partnership with employers, engaging in constructive dialogue and discussion. What a trade union should not be is a deliberately destructive force, seeking to hold back the economy of the country and unduly inconvenience, or�worse still�endanger other members of society.	STRIKE	STRIKE
However, even the STUC has now called for the devolution of employment rights to Scotland, so perhaps Labour should consider that, instead of listening to Gordon Brown’s rehash of broken promises.	GENERAL	not_statement
[Interruption.	not_statement	not_statement
Liam Byrne (Birmingham Hodge Hill and Solihull North) (Lab) The Minister will have seen the appalling evidence that the Business and Trade Committee took from McDonald’s, where the BBC investigation exposed allegations from hundreds of young workers who were suffering harassment, and even allegations from one worker of managers soliciting them for sex in return for scheduling shifts.	WAGES	not_statement
]  Madam Deputy Speaker (Dame Rosie Winterton) Order.	not_statement	not_statement
I defend their right to strike and I will be voting against this Bill.	STRIKE	not_statement
(2) For the purposes of this section, “domestic abuse” is defined in accordance with sections 1 and 2 of the Domestic Abuse Act 2021.	not_statement	not_statement
It is through that prism that I look at the Bill, which cannot be considered in isolation, but must be seen in the context of so many other proposals from this and the previous Government. The list is depressing. Other members have mentioned the gagging Act but, as a former BBC journalist, I am also alarmed to see public broadcasting under attack in favour of its politicised, corporate-owned and Conservative-supporting rivals.	GENERAL	GENERAL
What about the rights of drivers?	STRIKE	not_statement
This will be done through work notices.	not_statement	not_statement
Government new clause 36—Extension of regulation of employment businesses.	WAGES	not_statement
a very high percentage of people who are trade union representatives and members are extremely concerned about this Bill�s possible infringement  of their right and freedom to assemble, which is guaranteed by article 11 of the European convention on human rights.	GENERAL	GENERAL
Given the urgent necessity to promote growth, surely the acid test of a Bill such as this is whether it will actually make it more attractive for entrepreneurs to create jobs.	EQUAL	STATUS
Grant Shapps I simply do not accept that point.	not_statement	not_statement
They seem to imagine that the Army will just be there at no notice and with no ability to organise which areas of the country it needs to be in.	STRIKE	not_statement
 Does the hon. Gentleman not therefore find it ironic that curtailing the rights of working people to organise collectively through trade unions, which is what this Bill is designed to do, will stop those people arguing for and bargaining for better working conditions?	GENERAL	STRIKE
(2) An appropriate representative may apply to the Court for an injunction to subsist until the employer can satisfy the Committee that the steps under section 187C(5)(b) have been completed within the specified period or periods under section 187C(5)(c)—  (a) to compel the employer to take those steps within the period or periods, or  (b) to render void any dismissal or changes in work organisation or in contractual relations.	not_statement	not_statement
Grant Shapps I agree that we have had a good working relationship for the last several decades.	not_statement	not_statement
A high minimum service will force all those guys to work to keep the tracks in operation and the trains running, effectively blocking strikes by the back door.	STRIKE	not_statement
Dawn Butler (Brent Central) (Lab) Members on the Government Benches seem to think that none of those who are striking lives in their constituencies, which I find quite strange.	not_statement	not_statement
”  This amendment would exclude hospitality providers and sports venues from the Bill’s duties for employers not to permit harassment of their employees.	not_statement	not_statement
The Secretary of State forgets the fact that inflation has gone through the roof under their watch.	not_statement	not_statement
May I urge the Minister to consider that new clause?	not_statement	not_statement
The jury is in.	not_statement	not_statement
Rather than de-legitimising last-resort industrial action, this Government should be working with trade unions and employers to create a better environment. That would be a far more ambitious and constructive approach to take if this Bill really were about progress.	GENERAL	GENERAL
The Secretary of State for Business, Energy and Industrial Strategy keeps going on about minimum ambulance cover, but the reality is that this is an attack on millions of public sector workers.	STRIKE	not_statement
He also pointed out that he cannot see the problem with electronic voting. He criticised the civil liberties aspects of the Bill and argued for a sensible	STRIKE	 consensual and
”  Government amendment 241.	not_statement	not_statement
Our constituents know the value of their work, and they know the dignity they deserve.	not_statement	not_statement
The Minister may correct me, but I do not believe the provisions around menstrual health—the menopause strategy and so on—include endometriosis, which can be crippling for people in the workplace.	not_statement	WAGES
Those are real people whose livelihoods are at risk because of the Bill. That is why I support new clause 83 and amendment 283 on zero-hours contracts and employment tribunals.	STATUS	STATUS
”  This new clause would create a duty on employers with 5 or more employees to have a policy outlining the support they provide to workers who are victims of domestic abuse.	not_statement	not_statement
The truth is, however, that the legislation will not make any difference. The ballots held by ASLEF and the National Union of Rail, Maritime and Transport Workers have huge turnouts, and their members are expressing legitimate concerns about safety and manning levels that many of the travelling public share. I do not know whether the hon. Gentleman has used the tube recently, but the stations are being denuded of the human beings who used to be there to offer assistance. This measure will do nothing to help that position. In fact, it will make matters worse.	STRIKE	STRIKE
The code of practice on picketing, which is already followed without difficulty by many unions, requires the appointment of a picket supervisor. The Bill will make that a statutory obligation. It does not add any new requirement that is not already in the code. The supervisor must either attend the picket line or be readily contactable by the union and the police and able to attend at short notice, and he or she must wear an armband or other means to identify them in order to ensure that picketing is peaceful and lawful.	GENERAL	STRIKE
There is, however, an issue of intimidation in the trade union movement. One needs only to think back to the incident with Unite officials at the Grangemouth oil refinery in 2013, in which a mob was sent to protest outside a family home with banners, flags and a giant inflatable rat, which led to a country pub and even a charity fun run being disrupted.	STRIKE	STRIKE
Let us leave human rights to one side for a moment and examine the next strand of the Government�s argument, which is that trade union activity and the right to collectively bargain poses an economic threat. That is simply not the case. Evidence provided by the New Economics Foundation recently concluded that as a wage-led economy, the UK�s prosperity depends on a substantial share of the national income going to wages.	WAGES	GENERAL
(3) Provision under subsection (2)(a) must secure that—  (a) where only one employee is entitled to leave under this section in respect of a given child, the employee is entitled to at least 52 weeks’ leave;  (b) where more than one employee is entitled to leave under this section in respect of the same child, those employees are entitled to share at least 52 weeks’ leave between them.	not_statement	not_statement
Most of the detail of the Bill is missing and the Government have said that they will add it later—that is not how we are supposed to do politics or make legislation.	not_statement	not_statement
This Bill fails all four tests. The three clearest examples are: treating abstentions as no votes, which is clearly against the international standard and the international norm, putting greater restrictions on public services, a category drawn much more broadly than the international community would permit, and the unjustifiable restrictions on rights of protest both in picketing and away from picketing.	GENERAL	GENERAL
Angela Rayner I will just educate the hon<prd> Gentleman: although I used to be a trade union official and I am a member of a trade union, I do not negotiate on behalf of a trade union.	not_statement	not_statement
